year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO
1982,Annual,38,Point,2.583539,0.086368,0.022054,0.002543,0.06324
1982,Annual,39,Point,0.72406,0.000255,0,0,0
1982,Annual,40,Point,2.667532,0.043064,1.25302,1.006068,0.009015
1982,Annual,41,Point,5.741996,0,0,0.005079,0
1982,Annual,42,Point,0.061001,0,0,0,0
1982,Annual,43,Point,0.059856,4.001065,0,0,0
1982,Annual,44,Point,0,0.251701,0,0,0
1982,Annual,45,Point,0,0.580528,0,0,0
1982,Annual,46,Point,0.000316,0.00365,0,0,0
1982,Annual,47,Point,0.0231,0.317838,0,0,0
1982,Annual,48,Point,0,0.067295,0.003393,0,0
1982,Annual,49,Point,0,0.050627,0,0,0
1982,Annual,50,Point,0.006796,0.298852,0.000768,0,0
1982,Annual,53,Point,0.179962,0.043021,0,0.000011,0
1982,Annual,54,Point,2.014445,1.53155,0.078719,0.075362,0.242578
1982,Annual,55,Point,0,4.064075,0,0,0
1982,Annual,56,Point,0,3.967241,0,0,0
1982,Annual,57,Point,0,0.190079,0,0,0
1982,Annual,58,Point,0,0.803264,0,0,0
1982,Annual,60,Point,0.000054,1.251874,0,0,0
1982,Annual,62,Point,0.00067,0.475599,0,0,0
1982,Annual,63,Point,0,0.018902,0,0,0
1982,Annual,64,Point,0,4.744207,0,0,0
1982,Annual,67,Point,0,0.005581,0,0,0
1982,Annual,70,Point,0,0.040324,0,0,0
1982,Annual,78,Point,0,0.226089,0,0,0
1982,Annual,80,Point,0,0.001333,0,0,0
1982,Annual,84,Point,0,1.117674,0,0,0
1982,Annual,85,Point,0,0.473258,0,0,0
1982,Annual,92,Point,0,0.00216,0,0,0
1982,Annual,105,Point,0,3.358377,0,0,0
1982,Annual,106,Point,0,0.038722,0,0,0
1982,Annual,107,Point,0,0.62283,0,0,0
1982,Annual,108,Point,0,1.75647,0,0,0
1982,Annual,109,Point,0,0.761095,0,0,0
1982,Annual,110,Point,0,0.125708,0,0,0
1982,Annual,112,Point,0,1.934512,0,0,0
1982,Annual,115,Point,0,0.100736,0,0,0
1982,Annual,116,Point,0,0.299893,0,0,0
1982,Annual,117,Point,0.00107,0.107407,0,0,0
1982,Annual,252,Point,0,7.68573,0,0,0
1982,Annual,253,Point,0,1.445033,0,0,0
1982,Annual,256,Point,0,0.795348,0,0,0
1982,Annual,257,Point,0,0.13561,0,0,0
1982,Annual,258,Point,0,0.227464,0,0,0
1982,Annual,259,Point,0,0.038198,0,0,0
1982,Annual,260,Point,0,1.143153,0,0,0
1982,Annual,261,Point,0,0.019958,0,0,0
1982,Annual,262,Point,0,0.344255,0,0,0
1982,Annual,263,Point,0,0.010171,0,0,0
1982,Annual,264,Point,0,0.018406,0,0,0
1982,Annual,265,Point,0,0.014082,0,0,0
1982,Annual,266,Point,0,0.029388,0,0,0
1982,Annual,267,Point,0,0.004481,0,0,0
1982,Annual,268,Point,0,2.840909,0,0,0
1982,Annual,269,Point,0,0.220104,0,0,0
1982,Annual,270,Point,0,0.080118,0,0,0
1982,Annual,271,Point,0,0.005635,0,0,0
1982,Annual,272,Point,0,4.225861,0,0,0
1982,Annual,273,Point,0,1.838466,0,0,0
1982,Annual,274,Point,0,5.295204,0,0,0
1982,Annual,275,Point,0,1.727509,0,0,0
1982,Annual,276,Point,0,0.0943,0,0,0
1982,Annual,277,Point,0,0.008448,0,0,0
1982,Annual,278,Point,0,0.101027,0,0,0
1982,Annual,279,Point,0,0.05053,0,0,0
1982,Annual,280,Point,0,1.937745,0,0,0
1982,Annual,281,Point,0,0.25238,0,0,0
1982,Annual,282,Point,0.000354,1.994954,0,0,0
1982,Annual,290,Point,0.024512,0.024608,0.615437,0.024707,0.604745
1982,Annual,291,Point,0.510615,1.002017,9.884411,0.33528,2.606959
1982,Annual,292,Point,0.044259,0.296201,0.612091,0.051037,0.310817
1982,Annual,293,Point,0.74,0.43,34.970001,0.15,9.98
1982,Annual,297,Point,0.02772,0.00336,0.16772,0.284928,0.01456
1982,Annual,298,Point,1.07,0.4,25.630001,1.48588,3.02
1982,Annual,299,Point,1.379782,0.517105,12.075281,1.901538,2.343433
1982,Annual,300,Point,0.002479,0.022306,0.686657,0.052839,0.111466
1982,Annual,301,Point,0.001462,0.015306,0.075621,0.738689,0.117548
1982,Annual,302,Point,0,0,0,0,0.000148
1982,Annual,303,Point,0.124563,3.458513,7.469772,0.067888,7.185271
1982,Annual,304,Point,0.05,0.05,0.59,0.04,0.15
1982,Annual,305,Point,0.11,0.08,1.85,0.06,0.98
1982,Annual,306,Point,0.056206,0.05362,0.058405,0.010925,0.103503
1982,Annual,307,Point,0.148544,0.201356,14.162508,0.025271,2.498423
1982,Annual,308,Point,0.000428,0.00047,0.023823,0.000721,0.00261
1982,Annual,309,Point,0.013181,0.006083,0.18043,0.112249,0.037796
1982,Annual,310,Point,0.00011,0.000018,0.001259,0.001286,0.000091
1982,Annual,311,Point,0.027854,0.504898,2.427227,1.170735,3.078614
1982,Annual,312,Point,0.041476,0.021733,0.335968,0.104216,0.193159
1982,Annual,314,Point,0.002092,0.018565,0.127983,0.003612,0.000597
1982,Annual,796,Point,0,2.934652,0,0,0
1982,Annual,799,Point,0,0.00184,0,0,0
1982,Annual,800,Point,0,1.727739,0,0,0
1982,Annual,898,Point,0,22.782047,0,0,0
1982,Annual,937,Point,0.019059,8.181664,0,0,0
1982,Annual,938,Point,0,0.029741,0,0,0
1982,Annual,968,Point,0.002891,0.0089,3.97,0.001065,0.07
1982,Annual,1157,Point,3.672877,651.874756,0,0.0001,0
1982,Annual,1241,Point,0,2.936304,0.002213,0,0
1982,Annual,1243,Point,0,6.493372,0,0,0
1982,Annual,1245,Point,0,0.897093,0,0,0
1982,Annual,1595,Point,0,0,0.01,0,0
1983,Annual,10,Point,1.041655,0.7137,0.286775,20.30537,0
1983,Annual,11,Point,0,8.200001,0,0,0
1983,Annual,12,Point,0,0.084015,0,0,0
1983,Annual,13,Point,0,1.23,0,0,0
1983,Annual,14,Point,0,0.011255,0,0,0
1983,Annual,15,Point,0.08,14.629999,2.11,12.120001,1
1983,Annual,16,Point,0.080253,0.371667,0.032154,0.020042,0.029975
1983,Annual,17,Point,0,38.619118,0,0,0
1983,Annual,18,Point,0,2.917655,0,0,0
1983,Annual,19,Point,0,0.672563,0,0,0
1983,Annual,20,Point,0,0.001791,0,0,0
1983,Annual,21,Point,0.003981,0.014218,0.032679,0.603412,0.023896
1983,Annual,22,Point,0.105084,0.000355,0,1.453249,0
1983,Annual,23,Point,0.037629,0.858574,0,0,0
1983,Annual,24,Point,0.001125,0.016188,0,0,0
1983,Annual,25,Point,0.001502,0.054706,0,0,0
1983,Annual,26,Point,0.691743,0.370607,1.133551,3.086025,18.287861
1983,Annual,28,Point,0.012289,0.755555,0,0,0
1983,Annual,31,Point,0.00001,0.002702,0,0,0
1983,Annual,32,Point,0.045296,0.021053,0,0,0
1983,Annual,33,Point,2.385071,0.175543,0.012254,0.008386,0.098837
1983,Annual,34,Point,3.083697,0.383781,0.033673,0.000226,0.007779
1983,Annual,35,Point,0.007089,0,0,0,0
1983,Annual,36,Point,0.784654,0.024367,0,0,0
1983,Annual,38,Point,2.016319,0.087184,0.022263,0.002567,0.063838
1983,Annual,39,Point,0.730845,0.000257,0,0,0
1983,Annual,40,Point,2.617371,0.042255,1.229457,0.987149,0.008845
1983,Annual,41,Point,5.796094,0,0,0.005126,0
1983,Annual,42,Point,0.059853,0,0,0,0
1983,Annual,43,Point,0.067339,4.501251,0,0,0
1983,Annual,44,Point,0,0.24697,0,0,0
1983,Annual,45,Point,0,0.569725,0,0,0
1983,Annual,46,Point,0.00034,0.003929,0,0,0
1983,Annual,47,Point,0.022665,0.311851,0,0,0
1983,Annual,48,Point,0,0.06808,0.003433,0,0
1983,Annual,49,Point,0,0.05118,0,0,0
1983,Annual,50,Point,0.006899,0.303385,0.000779,0,0
1983,Annual,53,Point,0.176583,0.042213,0,0.000011,0
1983,Annual,54,Point,1.976508,1.502707,0.077237,0.073943,0.23801
1983,Annual,55,Point,0,4.069284,0,0,0
1983,Annual,56,Point,0,4.031326,0,0,0
1983,Annual,57,Point,0,0.192102,0,0,0
1983,Annual,58,Point,0,0.81181,0,0,0
1983,Annual,60,Point,0.000054,1.271904,0,0,0
1983,Annual,62,Point,0.000688,0.489002,0,0,0
1983,Annual,63,Point,0,0.019435,0,0,0
1983,Annual,64,Point,0,4.87791,0,0,0
1983,Annual,67,Point,0,0.005739,0,0,0
1983,Annual,70,Point,0,0.035242,0,0,0
1983,Annual,78,Point,0,0.197591,0,0,0
1983,Annual,80,Point,0,0.001602,0,0,0
1983,Annual,84,Point,0,1.001909,0,0,0
1983,Annual,85,Point,0,0.479007,0,0,0
1983,Annual,92,Point,0,0.002193,0,0,0
1983,Annual,105,Point,0,3.169177,0,0,0
1983,Annual,106,Point,0,0.039336,0,0,0
1983,Annual,107,Point,0,0.55154,0,0,0
1983,Annual,108,Point,0,1.58707,0,0,0
1983,Annual,109,Point,0,0.721459,0,0,0
1983,Annual,110,Point,0,0.108559,0,0,0
1983,Annual,112,Point,0,1.935601,0,0,0
1983,Annual,115,Point,0,0.104862,0,0,0
1983,Annual,116,Point,0,0.312176,0,0,0
1983,Annual,117,Point,0.001243,0.124724,0,0,0
1983,Annual,252,Point,0,7.082119,0,0,0
1983,Annual,253,Point,0,1.417818,0,0,0
1983,Annual,256,Point,0,0.780385,0,0,0
1983,Annual,257,Point,0,0.133061,0,0,0
1983,Annual,258,Point,0,0.220933,0,0,0
1983,Annual,259,Point,0,0.037481,0,0,0
1983,Annual,260,Point,0,1.121603,0,0,0
1983,Annual,261,Point,0,0.019582,0,0,0
1983,Annual,262,Point,0,0.287121,0,0,0
1983,Annual,263,Point,0,0.00998,0,0,0
1983,Annual,264,Point,0,0.018065,0,0,0
1983,Annual,265,Point,0,0.013817,0,0,0
1983,Annual,266,Point,0,0.028835,0,0,0
1983,Annual,267,Point,0,0.004397,0,0,0
1983,Annual,268,Point,0,1.98474,0,0,0
1983,Annual,269,Point,0,0.21597,0,0,0
1983,Annual,270,Point,0,0.078611,0,0,0
1983,Annual,271,Point,0,0.005529,0,0,0
1983,Annual,272,Point,0,3.396038,0,0,0
1983,Annual,273,Point,0,1.803879,0,0,0
1983,Annual,274,Point,0,5.505572,0,0,0
1983,Annual,275,Point,0,1.796136,0,0,0
1983,Annual,276,Point,0,0.098049,0,0,0
1983,Annual,277,Point,0,0.008784,0,0,0
1983,Annual,278,Point,0,0.08961,0,0,0
1983,Annual,279,Point,0,0.049581,0,0,0
1983,Annual,280,Point,0,1.587515,0,0,0
1983,Annual,281,Point,0,0.24764,0,0,0
1983,Annual,282,Point,0.000348,1.960701,0,0,0
1983,Annual,290,Point,0.026135,0.026237,0.656185,0.026343,0.644785
1983,Annual,291,Point,0.517909,1.016331,10.02562,0.340069,2.644202
1983,Annual,292,Point,0.0453,0.30317,0.626493,0.052238,0.31813
1983,Annual,293,Point,0.74,0.43,35.040001,0.15,10
1983,Annual,297,Point,0.028215,0.00342,0.170715,0.290016,0.01482
1983,Annual,298,Point,1.08,0.41,25.91,1.5043,3.06
1983,Annual,299,Point,1.406064,0.526954,12.36624,2.032996,2.38807
1983,Annual,300,Point,0.002511,0.0226,0.695701,0.053535,0.112934
1983,Annual,301,Point,0.001488,0.015571,0.076928,0.751464,0.11958
1983,Annual,302,Point,0,0,0,0,0.000148
1983,Annual,303,Point,0.128908,3.57916,7.730347,0.070257,7.435921
1983,Annual,304,Point,0.05,0.06,0.62,0.04,0.16
1983,Annual,305,Point,0.1,0.07,1.81,0.06,0.96
1983,Annual,306,Point,0.057062,0.054437,0.059295,0.011092,0.10508
1983,Annual,307,Point,0.153071,0.207491,14.594051,0.026041,2.574552
1983,Annual,308,Point,0.000488,0.000535,0.027131,0.000821,0.002973
1983,Annual,309,Point,0.013313,0.006144,0.182237,0.113373,0.038174
