year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO
1980,Annual,1022,Area,0,1.368155,0,0,0
1980,Annual,1023,Area,0,0.340933,0,0,0
1980,Annual,1026,Area,0,3.908475,0,0,0
1980,Annual,1027,Area,0,1.283247,0,0,0
1980,Annual,1028,Area,0,1.277214,0,0,0
1980,Annual,1030,Area,0,0.407417,0,0,0
1980,Annual,1031,Area,0,2.019508,0,0,0
1980,Annual,1032,Area,0,0.067473,0,0,0
1980,Annual,1035,Area,0,0.040086,0,0,0
1980,Annual,1039,Area,0,0.003139,0,0,0
1980,Annual,1042,Area,0,1.481965,0,0,0
1980,Annual,1043,Area,0,2.69188,0,0,0
1980,Annual,1044,Area,0,0.099643,0,0,0
1980,Annual,1045,Area,0,1.580024,0,0,0
1980,Annual,1048,Area,0,0.003305,0,0,0
1980,Annual,1049,Area,0,0.008331,0,0,0
1980,Annual,1052,Area,0,0.019194,0,0,0
1980,Annual,1053,Area,0,0.216254,0,0,0
1980,Annual,1054,Area,0,0.007914,0,0,0
1980,Annual,1055,Area,0,0.19907,0,0,0
1980,Annual,1056,Area,0,0.001889,0,0,0
1980,Annual,1060,Area,0,0.135751,0,0,0
1980,Annual,1061,Area,0,0.00142,0,0,0
1980,Annual,1063,Area,0,0.001138,0,0,0
1980,Annual,1064,Area,0,0.114752,0,0,0
1980,Annual,1065,Area,0,0.000759,0,0,0
1980,Annual,1068,Area,0,0.000014,0,0,0
1980,Annual,1075,Area,0,0.050507,0,0,0
1980,Annual,1076,Area,0,0.016727,0,0,0
1980,Annual,1077,Area,0,0.36315,0,0,0
1980,Annual,1078,Area,0,0.428057,0,0,0
1980,Annual,1080,Area,0,0.077316,0,0,0
1980,Annual,1081,Area,0,0.225872,0,0,0
1980,Annual,1082,Area,0,0.464347,0,0,0
1980,Annual,1085,Area,0,0.374308,0,0,0
1980,Annual,1086,Area,0,0.091901,0,0,0
1980,Annual,1087,Area,0,0.1275,0,0,0
1980,Annual,1088,Area,0,0.282025,0,0,0
1980,Annual,1089,Area,0,0.050242,0,0,0
1980,Annual,1092,Area,0,0.720695,0,0,0
1980,Annual,1093,Area,0,0.260428,0,0,0
1980,Annual,1094,Area,0,0.168597,0,0,0
1980,Annual,1096,Area,0,0.047225,0,0,0
1980,Annual,1097,Area,0,0.586728,0,0,0
1980,Annual,1098,Area,0,0.015216,0,0,0
1980,Annual,1101,Area,0,0.007469,0,0,0
1980,Annual,1105,Area,0,0.000415,0,0,0
1980,Annual,1108,Area,0,0.220209,0,0,0
